Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
192607,0.912292286,0.943324931,,1.31073294,0.797585442,1.066354854,1.42133439,0.583376021,1.209860296,0.8391943,,0.915408123,0.725728247,1.244446993,,0.988790226,1.128434571,1.057514265,1.382189725,,1.285261086,1.542581712,1.499071827,2.039004275,1.049360173,,,0.994792997,0.884469067,1.22767609,1.137709398,0.639232903,1.137417534,1.007564451,1.181774405,,1.20699501,0.849988453,,1.02457032,0.976092105,0.979185596,0.980134388,0.698263487,1.256605996,1.112598888,0.896791723,1.320890013,0.903847995
192608,0.901649349,0.934353308,,1.329344639,0.791303399,1.072991614,1.412505055,0.52521793,1.204727519,0.835318478,,0.914634954,0.722719147,1.24388142,,0.968433673,1.124995616,1.063577659,1.390805511,,1.299233731,1.549736041,1.490369055,2.049527232,1.047352045,,,0.994850673,0.884654638,1.228265679,1.128908636,0.633845305,1.134881782,1.015398634,1.202196974,,1.186947068,0.860888066,,1.02186348,0.98554892,1.009847206,0.968159921,0.707754138,1.277002027,1.116578061,0.902113303,1.330788299,0.875435573
192609,0.901775769,0.932452357,,1.316542479,0.788591682,1.058248885,1.416028891,0.486675951,1.209322324,0.832446911,,0.912489266,0.719318466,1.244215832,,0.9682758,1.126000121,1.057734173,1.394592546,,1.295390096,1.55052684,1.491660495,2.062866893,1.043889298,,,0.997745502,0.882793653,1.227813664,1.134741615,0.634981374,1.134719079,1.014864284,1.203725171,,1.191761972,0.857926131,,1.020141227,0.982112932,1.002167987,0.970406349,0.711795873,1.250004598,1.118363821,0.901264424,1.333457791,0.873969432
192610,1.129656963,0.933313345,,1.261493138,0.823904588,1.048904178,1.417754782,0.546605081,1.200120706,0.842998383,,0.954991945,0.81231422,1.195545278,,0.934105121,1.10660752,1.074999893,1.340189442,,1.260588661,1.498390583,1.416518621,1.921835031,1.034691364,,,0.948683701,0.814437647,1.226382129,1.137487736,0.630651716,1.095296031,0.986694663,1.196013023,,1.244748563,0.891696136,,0.9686079,0.940028932,0.922849916,0.979507993,0.76459683,1.248598705,1.183199158,0.955511086,1.31401326,0.867753995
192611,1.232968761,0.939874154,,1.295296307,0.842624368,1.047375405,1.414708376,0.512321384,1.218596662,0.85555627,,1.000342498,0.811637827,1.209533707,,0.934073344,1.104471376,1.058685932,1.342070224,,1.263701391,1.499793463,1.424636211,1.905029601,1.055801124,,,0.973055884,0.816442445,1.24090622,1.130891789,0.620185287,1.079441264,0.983187767,1.198852183,,1.254150393,0.897172604,,0.965922533,0.920541756,0.924684434,0.979857234,0.775022872,1.292742576,1.204398218,0.944459752,1.317744567,0.854975369
192612,1.240485568,0.931289224,,1.279372444,0.827724605,1.03934586,1.456206828,0.529447329,1.197557774,0.86167501,,1.021301842,0.803129949,1.212001703,,0.932764557,1.098059357,1.075685036,1.335819524,,1.260766989,1.499599963,1.401724492,1.887383608,1.069381654,,,0.980784346,0.822147893,1.231413532,1.120090853,0.641264988,1.081530249,0.97879994,1.198569678,,1.244814121,0.906921119,,0.96320322,0.932417423,0.929891888,0.977577219,0.78993484,1.27446879,1.204785287,0.956633209,1.319064189,0.857281413
192701,1.231153191,0.930976719,,1.255755271,0.793457871,1.081061755,1.520218552,0.542242327,1.205938067,0.931486826,,1.020014075,0.808744693,1.196934737,,0.920526982,1.114854,1.085969857,1.348805463,,1.273288952,1.502294493,1.389406414,1.871797355,1.090926702,,,0.987525666,0.855682041,1.244891083,1.119507066,0.659181124,1.053136728,0.987032863,1.211566546,,1.254181568,0.903100568,,0.947290637,0.962013874,0.96055914,1.00075841,0.805811269,1.296087102,1.242166364,0.97941798,1.316158463,0.880536079
192702,1.233121304,0.930690592,,1.255548906,0.792372582,1.082722564,1.509042856,0.545083192,1.203229015,0.92082276,,1.020353826,0.806735674,1.196265357,,0.920491819,1.113216605,1.085957331,1.347515659,,1.269589609,1.501031105,1.387463797,1.869045105,1.083387425,,,0.985664917,0.854213933,1.241172209,1.120300932,0.659394494,1.052434654,0.986398043,1.210390639,,1.249414031,0.904261623,,0.94835158,0.955606329,0.960359828,0.998998875,0.805926209,1.295333735,1.240998693,0.978752695,1.314369134,0.877135246
192703,1.232854433,0.928275366,,1.244689751,0.779609459,1.099912585,1.513794331,0.538944111,1.206734689,0.920244747,,0.991775693,0.807380064,1.18722555,,0.925310827,1.106695121,1.088882284,1.334338808,,1.262633324,1.496967457,1.37414909,1.857713468,1.066770961,,,0.969019375,0.858416464,1.237580635,1.118777361,0.656716038,1.051483965,0.972868909,1.205228265,,1.216625198,0.893792561,,0.954931605,0.937491569,0.947251545,0.992087737,0.797776648,1.292772083,1.238481526,0.983939797,1.322646644,0.874124189
192704,1.247215455,0.922486754,,1.21850204,0.763065349,1.085522524,1.523291401,0.552663739,1.185783429,0.921611895,,0.983658123,0.810559305,1.18127936,,0.915528493,1.102634501,1.11293455,1.332811499,,1.260297316,1.506723105,1.371392967,1.876337186,1.080358231,,,0.96229997,0.855290471,1.209812564,1.117323786,0.649786821,1.055167787,0.963798919,1.195292374,,1.213690127,0.880640561,,0.946557759,0.950699697,0.973394109,1.00204678,0.804076448,1.298405351,1.232467236,0.970371392,1.333365093,0.898588226
192705,1.276779408,0.923666982,,1.196885588,0.767066425,1.017117086,1.511241754,0.576207212,1.180452553,0.928132419,,0.940149918,0.821505393,1.175214325,,0.894383122,1.099116391,1.120137914,1.317457455,,1.269404066,1.490118097,1.362898816,1.819656156,1.03641703,,,0.947739083,0.833166748,1.176515457,1.108498222,0.685218066,1.105281713,0.957533334,1.189438724,,1.242744114,0.949585159,,0.971350217,0.951594972,0.905994697,0.965633313,0.815766094,1.266197986,1.257051604,1.013857833,1.306431219,0.934614877
192706,1.084140404,0.917890416,,1.138478996,0.785564946,1.108997175,1.564210334,0.623710783,1.164886695,0.87803655,,0.952117103,0.871837108,1.161896814,,0.873036941,1.054621374,1.140826963,1.309968627,,1.252799668,1.489976688,1.340123058,1.74515213,1.046927429,,,0.93159437,0.77989493,1.11892106,1.140159653,0.707858822,1.094205979,0.93184034,1.138219007,,1.173104314,0.945727208,,0.95360695,0.963497669,0.888371311,0.980838204,0.835071079,1.320158616,1.282895383,1.107923679,1.275804447,0.935058985
