Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
192607,0.0242,0.0051,,-0.0558,0.0145,0.0843,0.0103,0.4999,0.0223,-0.009,,0.0685,0.0038,0.0079,,0.0019,0.036,-0.0843,0.0283,,0.0327,0.014,0.0284,-0.0087,0.003,,,0.0455,-0.0128,-0.0262,0.0463,0.0109,,0.0261,0.0267,,0.0428,0.0113,,0.0107,-0.0101,-0.2045,0.0156,0.0147,0.0474,-0.0116,0.0692,-0.0647,0.0239
192608,0.0012,0.037,,0.19,0.0476,0.1656,-0.001,0.4273,-0.0311,0.0454,,0.0508,0.0617,0.0277,,0.0228,0.0047,0.0712,-0.0083,,0.0683,0.0325,0.0087,-0.0683,0.0458,,,-0.0051,0.0339,0.043,-0.0225,0.0083,,0.0367,0.0183,,-0.0365,0.0664,,0.0375,0.0478,0.0917,-0.007,-0.0115,0.3398,0.008,0.0277,-0.0042,0.0323
192609,-0.0338,0.0149,,0.054,0.0287,0.081,0.032,-0.0514,0.0153,-0.0639,,0.0417,-0.0087,0.0217,,-0.0403,-0.0217,-0.1199,0.0205,,0.0055,0.0174,-0.0509,-0.0732,0.0252,,,0,0.0333,-0.0508,0.0183,-1.00E-04,,-0.0629,0.0127,,-0.0605,-0.0086,,-0.0687,-0.0023,0.0009,-0.011,-0.0037,-0.0148,-0.003,-0.0197,-0.0746,-0.0041
192610,0.0023,-0.0541,,-0.064,-0.0195,-0.0172,-0.0681,0.0505,-0.033,-0.0144,,0.0467,-0.0214,-0.0909,,0.0155,-0.0576,-0.0891,-0.053,,-0.0406,-0.0594,-0.092,-0.1368,-0.0507,,,0.0012,0.1467,0,-0.033,-0.0131,,-0.0055,-0.0271,,-0.1624,-0.0011,,-0.0522,-0.0266,-0.0653,-0.0365,-0.0237,-0.1145,-0.0378,-0.0404,-0.0409,-0.0671
192611,-0.0888,0.0758,,0.1098,0.0927,-0.0031,0.0002,-0.0671,0.0134,0.0054,,0.0335,0.083,0.0503,,0.039,0.0095,0.0194,0.015,,-0.0216,0.0081,-0.0193,0.063,0.0657,,,0.0496,-0.0641,0.0275,0.054,0.0117,,-0.0251,0.0222,,-0.0172,0.0394,,0.0229,0.0011,-0.0057,0.0103,0.0161,-0.0401,0.0148,-0.0039,0.0152,-0.0072
192612,-0.0628,-0.0102,,-0.0571,0.0228,0.022,0.0234,-0.0357,0.0192,0.0135,,-0.0336,0.0153,0.0359,,0.0264,0.0235,0.0048,0.0189,,0.039,-0.0134,0.0546,0.0889,0.0823,,,-0.0018,-0.0426,0.0634,0.0144,0.0134,,0.0452,0.0303,,0.0699,0.0986,,-0.0356,0.0083,0.0112,0.0252,0.0306,-0.0089,0.0254,0.0939,-0.0032,-0.0123
192701,-0.0035,-0.0202,,-0.0358,-0.0162,0.0148,0.0173,0.0096,0.0206,0.015,,0.0453,0.0642,-0.0007,,-0.0425,-0.0384,-0.038,-0.0012,,0.0602,-0.0056,-0.02,-0.0254,-0.0029,,,0.026,-0.0197,0.0448,-0.0069,-0.0012,,0.0535,0.0332,,-0.0019,-0.0326,,-0.023,0.0714,-0.0931,-0.0288,0.016,-0.0803,-0.0026,-0.0062,-0.0349,-0.0395
192702,0.0823,0.0241,,0.1885,0.0446,-0.0638,0.0222,0.1005,0.0422,0.0145,,0.0509,0.0105,0.0532,,0.0073,0.0332,0.0775,0.0797,,0.0541,0.0769,0.0673,-0.0417,0.0701,,,0.0511,0.0205,0.0435,0.0462,0.0672,,0.0637,0.0859,,0.1142,0.0342,,0.0364,0.0904,0.0884,0.0379,0.0924,0.1411,0.0069,0.022,0.0068,0.0018
192703,-0.0525,-0.046,,-0.0899,0.0096,-0.0919,0.0192,-0.0813,-0.0066,-0.0115,,0.0116,-0.0117,-0.0406,,-0.0539,0.0481,0.0474,-0.0349,,-0.0256,-0.0551,-0.0097,-0.003,-0.0014,,,0.0009,0.002,-0.1133,0.0189,0.0105,,-0.0123,0.0844,,-0.0647,0.0596,,-0.0594,-0.0046,0.2925,-0.016,-0.0128,-0.1037,0.0324,-0.0276,-0.0079,-0.0091
192704,0.03,-0.001,,-0.0031,0.0096,-0.0066,-0.0417,0.0352,-0.0016,0.0132,,-0.0064,0.0803,0.0247,,0.0281,0.0349,-0.0892,-0.0043,,0.0242,-0.0125,-0.0183,-0.1173,0.0542,,,0.0273,-0.0046,-0.0491,0.0144,0.0033,,-0.01,0.0739,,0.0766,0.0118,,0.0374,0.0112,-0.1593,0.0397,0.0384,-0.0214,0.0273,0.0108,0.0114,0.0456
192705,0.0572,0.0693,,0.2274,0.0525,-0.052,0.0049,-0.0178,0.0909,0.0842,,0.0557,0.0405,0.0266,,0.0527,0.0875,-0.1074,0.0416,,0.058,0.0253,0.0348,0.3164,0.1155,,,-0.0246,0.1932,0.0476,0.0899,0.013,,0.1899,0.0488,,-0.0075,0.0533,,0.0874,0.1046,-0.056,0.0196,0.0346,0.0587,0.1455,0.0487,0.0417,0.0292
192706,-0.0391,-0.0308,,0.1571,0.0004,-0.0378,-0.0609,-0.0626,-0.0526,-0.0539,,0.0317,0.0346,0.0441,,-0.0357,-0.008,-0.1404,-0.0616,,-0.0099,0.0103,-0.0697,0.1423,-0.0732,,,-0.0295,-0.0927,0.0118,-0.0356,-0.0289,,-0.0461,-0.017,,0.0694,0.0515,,-0.026,-0.0018,-0.0595,-0.023,0.0029,-0.1127,0.0333,0.0182,-0.0216,-0.0662
192707,0.061,0.0489,,0.0633,0.0673,0.012,-0.0169,0.0004,0.0146,0.1006,,0.1093,0.0723,0.068,,0.0675,0.0489,-0.0009,0.0822,,0.0547,0.0549,0.0906,-0.0308,0.0666,,,0.1024,0.0574,0.0114,0.0388,0.0406,0.0149,0.1934,0.0233,,0.2686,0.0659,,0.1247,0.0261,0.1698,0.0538,0.0237,0.0695,0.0887,0.0137,-0.0186,0.0455
192708,0.0623,0.0164,,-0.0572,0.0016,0.0424,0.0097,0.0035,0.0054,0.0132,,-0.0287,0.0097,0.0252,,-0.0165,-0.0462,-0.0378,0.0014,,-0.0099,0.0003,0.0093,0.2988,0.0351,,,0.009,0.0358,-0.0338,0.0589,0.0103,0.0258,0.0319,0.0336,,-0.2511,0.0047,,0.0041,-0.0377,-0.0375,0.0335,0.0199,0.0531,0.0398,-0.0089,0.0216,0.0605
192709,0.064,0.0244,,0.115,0.0297,0.0118,-0.0046,0.005,0.0132,0.0247,,0.0851,0.047,-0.0021,,0.0142,0.0118,-0.0269,-0.0019,,-0.0075,0.0424,0.0177,0.1744,-0.0244,,,0.0531,-0.0216,0.0492,0.0921,0.0499,-0.016,0.0906,0.0243,,0.0699,0.028,,0.0629,0.0349,0.0038,0.0383,0.0421,0.0412,0.1031,0.0452,0.0027,-0.0114
192710,-0.0527,-0.0266,,0.0025,-0.0053,-0.0329,-0.0077,-0.0545,-0.0274,0.0388,,0.0213,0.0601,-0.0444,,-0.0674,-0.0245,-0.0373,-0.076,,-0.0195,-0.0296,-0.0523,-0.1858,-0.0368,,,-0.035,-0.1187,-0.0336,-0.0493,-0.0258,0.0257,-0.0071,-0.0573,,-0.0566,-0.0785,,-0.0106,-0.0692,-0.1099,-0.0394,-0.0155,0.0341,0.1177,-0.0521,-0.0328,-0.0138
192711,0.3552,0.0766,,0.0691,0.0923,-0.0961,0.0602,0.0614,0.0177,0.0329,,0.0055,0.0656,0.1078,,0.0133,0.0616,-0.081,0.2309,,0.1141,0.1695,0.144,0.1918,0.0685,,,0.1786,0.136,0.0885,0.0575,0.0345,-0.0466,0.0848,0.0571,,0.2283,0.0865,,0.0875,0.059,-0.0076,0.1086,0.0111,0.0904,0.0857,0.0651,0.0648,0.134
192712,-0.0494,0.0692,,0.0598,0.0064,-0.1058,-0.0199,0.0313,0.0902,-0.0156,,-0.0035,-0.0215,0.0711,,0.0112,0.003,0.1675,0.0672,,0.0224,-0.0114,0.0632,0.4034,0.032,,,0.0847,-0.0683,0.018,0.0158,0.032,-0.0533,-0.0106,0.093,,-0.0346,-0.0364,,-0.0085,-0.0075,0.0321,0.0179,0.0086,0.1323,0.188,0.001,0.0494,0.0115
192801,-0.0387,0.0495,,0.016,0.0192,-0.0233,-0.04,0.0243,0.0396,0.0801,,0.0331,0.0035,0.0121,,0.024,0.0799,0.0273,0.071,,0.0562,0.0088,-0.0194,0.0128,1.00E-04,,,0.176,-0.0923,0.0093,0.0851,-0.021,-0.0025,0.1327,0.067,,-0.0411,-0.0036,,0.0147,-0.0105,0.0422,0.0444,-0.008,-0.0314,-0.03,0.1297,0.0611,0.0749
192802,-0.0202,-0.0263,,-0.0985,-0.0446,-0.0532,-0.0111,-0.0063,0.0093,-0.0347,,-0.0166,-0.0245,-0.0244,,0.013,0.0086,-0.0096,-0.025,,-0.039,-0.0034,-0.0545,-0.101,-0.0366,,,-0.0231,-0.0413,-0.02,-0.0196,-0.0071,-0.0571,-0.0566,-0.0146,,0.0186,0.0127,,-0.0092,-0.0359,-0.1226,-0.0077,-0.0205,-0.0274,-0.0048,-0.0062,-0.0838,-0.0257
192803,0.0062,0.0443,,0.2206,0.0482,0.2319,0.0226,0.1548,0.0857,-0.0003,,0.1101,0.075,0.073,,0.0552,0.0478,0.0285,0.0787,,0.032,0.1994,0.1443,0.2454,0.0626,,,0.0984,0.014,0.068,0.0466,0.0291,0.0531,0.0389,-0.0061,,0.0865,0.0297,,0.0445,0.0522,0.1706,0.0527,0.0399,0.2302,0.0697,0.012,0.0582,0.0399
192804,-0.0715,0.0585,,0.0521,-0.0178,-0.0441,0.0152,0.0141,0.0229,0.1032,,0.0561,0.019,0.0573,,-0.0311,0.0671,0.0336,0.049,,0.2138,0.0615,0.0399,0.6161,0.0355,,,0.0493,0.0254,0.3036,0.1072,0.0219,0.0705,0.0969,0.0433,,-0.0163,0.0147,,0.0613,0.0761,-0.0316,0.0654,-0.0039,0.117,0.0541,0.1059,0.2056,0.0603
