Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
192607,299.4,1247.6,0,21.36,955.52,13,171.84,4.33,178.16,220.32,0,38.28,140.35,979.03,0,80.92,270.4,10.35,2185.2,0,521.93,1218.58,1854.45,9.52,527.4,0,0,388.36,324.16,3989.97,1705.62,1751.8,0,67.26,117.48,0,52.34,227.11,0,212.1,4977.87,2.38,1539.45,64.92,43.5,95.46,45.84,49.6,97
192608,306.18,1246,0,20.25,967.52,14.12,176.04,6.5,177.04,237.96,0,40.18,140.4,1056.21,0,81.06,276.9,9.5,2267.55,0,549.29,1257.19,2149.29,9.46,530.04,0,0,410.2,326.64,3931.49,1823.01,1766.35,0,70.86,121.88,0,52.12,230.18,0,227.16,5058.17,1.8,1536.81,66,45.51,94.95,47.12,46.65,102.04
192609,313.02,1278,0,25.74,1024.48,16.5,174.6,9.29,169.44,231.48,0,41.44,145.65,1114.01,0,87.5,289.51,10.2,2304.45,0,557.46,1283.59,2227.29,8.78,539.4,0,0,412.3,329.44,3984.12,1785.21,1804.8,0,71.94,125.64,0,49.68,241.94,0,220.92,5281.55,1.9,1521.63,65.64,50.91,97.38,48.94,46.8,108.84
192610,308.73,1288.4,0,26.76,1030.72,17.88,183.48,8.83,169.84,228.36,0,42.86,145.2,1163.99,0,89.04,286.52,8.8,2295.9,0,556.7,1264.23,2327.91,8.15,551.52,0,0,412.44,330.4,3816.54,1814.61,1820.8,0,72.06,129.68,0,46.54,240.41,0,208.62,5269.14,1.76,1522.95,64.8,49.38,97.98,47.44,44.45,104.64
192611,307.02,1236,0,25.86,1041.28,17.62,174.06,9.31,161.12,228.36,0,44.34,141.45,1106.02,0,89.32,273.65,8.04,2200.5,0,562.4,1191.63,2137.59,7.07,518.64,0,0,399.14,335.2,3774.54,1762.32,1818.7,0,73.02,126.44,0,43.82,240.92,0,196.8,5115.11,1.48,1485.99,61.98,43.56,93.78,44.66,43.95,95.76
192612,327.75,1311.6,0,27.75,1082.88,17.62,177.12,8.4,159.28,232.2,0,45.84,148.85,1163.14,0,86.45,279.5,8.23,2273.4,0,575.32,1252.24,2075.19,7.47,559.32,0,0,432.88,333.6,3750.6,1820.7,1848.25,0,73.62,130.6,0,44.4,247.05,0,203.46,5171.32,1.56,1574.76,64.38,30.6,97.14,44.98,46.2,99.48
192701,314.52,1302,0,26.64,1103.52,18.06,177.54,8.12,161.92,231.36,0,43.48,149.9,1202.41,0,91.39,284.96,8.09,2342.7,0,600.78,1209.34,2286.18,8.15,567.84,0,0,432.04,338.4,3835.96,1808.52,1857.6,0,76.38,134.88,0,44.04,272.12,0,194.04,5322.43,1.7,1581.03,64.8,29.8,98.61,48.56,45.45,97.16
192702,303.03,1294.4,0,26.49,1094.25,18.38,180.6,8.22,167.92,228.72,0,45.86,156.1,1201.39,0,89.4,279.37,7.8,2326.95,0,606.86,1196.91,2262.39,7.97,561.72,0,0,449.4,323.84,3895.82,1772.61,1892.6,0,80.52,135.88,0,43.8,263.93,0,187.74,5378.4,1.4,1534.5,65.7,28.2,97.83,47.66,44,93.32
192703,326.19,1340.4,0,29.88,1101.75,16.88,184.92,9.07,174.24,234.6,0,47.74,156.4,1317.5,0,96.24,290.68,8.43,2400.3,0,651.51,1248.39,2459.34,7.59,588,0,0,472.5,342.08,3918.78,1845.9,1967.75,0,85.26,145.16,0,46.34,269.56,0,197.16,5633.28,1.44,1580.04,69.84,30.54,98.46,48.98,44.85,92.52
192704,317.82,1365.2,0,25.83,1155.45,15.38,186.12,8.36,173.2,234.6,0,47.98,157.8,1385.67,0,90.6,297.44,8.65,2421.9,0,633.65,1241.35,2491.32,7.59,573.84,0,0,486.64,360.72,3622.35,1844.64,2001.84,0,81.3,152.04,0,40.52,286.44,0,178.02,5662.25,1.16,1573.11,67.86,27.64,105.6,46.88,43.65,94.52
192705,334.98,1390.8,0,26.25,1201.35,15.31,178.38,8.67,175.2,248.28,0,47.8,162.4,1422.9,0,90.48,295.1,7.9,2407.05,0,644.29,1319.45,2558.4,6.72,567.36,0,0,500.08,361.6,3406.69,1871.73,1959.2,0,81.6,159.24,0,44.1,290.53,0,185.58,5695.62,1.02,1631.52,71.52,26,108.87,47.12,47.15,99.36
192706,348.78,1481.2,0,29.31,1336.95,14.19,179.34,8.54,192.24,256.2,0,50.12,167.45,1477.3,0,102.48,313.56,7.07,2481.3,0,697.49,1428.02,2665.26,8.81,628.32,0,0,501.2,373.2,3557.16,2037,2024.72,0,95.04,166.72,0,43.14,302.81,0,194.7,6065.53,0.98,1666.5,74.58,28.26,122.55,48.42,52.1,99.76
192707,334.29,1610.55,0,32.25,1422.4,22.56,162.3,21.08,210.1,264.18,0,55.06,176.3,1448.06,0,126.28,333.2,25.9,2365.86,0,701.61,1246.8,2747.82,10.04,642.33,0,0,574.88,396.36,4288.58,2311.04,2107.8,7,95.88,162.32,0,46.2,319.96,0,226.45,6027.75,5.37,1713.96,78.9,30.14,145.64,58.2,131.74,96.45
192708,354.51,1682.55,0,33.45,1484.48,23.14,163.74,20.98,221.1,279.72,0,61.36,191.5,1700.51,0,131.46,356.02,25.7,2602.74,0,767.97,1429.92,3116.82,9.76,717.6,0,0,624,402.48,4409.1,2426.04,2186.55,7,97.86,166.4,0,52.74,342,0,252.42,6361.5,5.94,1882.8,82.44,31.16,165.08,60.42,132.65,103.05
192709,361.56,1721.25,0,32.1,1535.04,24.48,173.52,21.12,220.7,283.64,0,59.48,192.65,1730.94,0,132.02,351.82,25.14,2691.36,0,771.54,1530.96,3324.28,12.65,743.34,0,0,627.04,412.29,4368.62,2500.79,2195.85,7.2,105.66,181.92,0,45.78,340.47,0,260.68,6232.5,5.79,2019.6,82.62,32.72,165.28,60.9,136.71,108.05
192710,385.41,1807.65,0,34.35,1598.24,24.4,178.14,21.2,224.9,294.7,0,64.24,201.65,1828.52,0,133.98,365.54,24.4,2777.46,0,809.13,1521.24,3526.41,14.88,764.92,0,0,662.56,417.69,4504.32,2699.28,2310.2,7.1,112.68,189.72,0,50.06,350.72,0,269.43,6474,6.12,2170.08,87,33.64,178.4,60.6,144.34,108.55
192711,363.06,1769.4,0,33.78,1592.96,24.1,178.92,20.48,220.5,108.03,0,65.22,212.15,1688.44,0,130.62,347.76,24.36,2554.3,0,765.87,1384.35,3360.4,12.15,710.71,0,0,640.32,392.31,4416,2575.08,2261.85,7.3,117.48,190.52,0,48.38,324.06,0,268.59,6163.5,4.8,2055.96,85.32,34.52,197.56,57.96,143.43,104.6
192712,386.55,1897.2,0,37.26,1693.28,22.9,186.9,22.18,225,109.72,0,66,220,1824.27,0,136.78,368.34,24.04,2856.88,0,849.24,1541.87,3520.4,14.45,767,0,0,692.96,421.65,4566.42,2729.41,2325.75,6.85,128.94,201.92,0,59.62,348.67,0,312.62,6378.75,4.74,2296.8,87.6,38.56,211.6,62.82,154.14,115.05
192801,380.85,1944.8,0,42,1695.36,21.1,191.1,22.9,246.9,109.07,0,65.46,218.35,1814.75,0,139.58,362.04,25.5,3008.99,0,870.03,1548.03,3783.2,20.31,777.79,0,0,778.24,407.07,4576.08,2782.54,2327.75,6.5,123.48,223.44,0,56.66,336.75,0,315.84,6343.5,5.28,2279.16,85.44,42.04,253.04,63.45,157.78,116.3
192802,373.65,2007.72,0,41.97,1651.52,20.78,190.68,23.56,255.5,116.48,0,67.64,222.6,1791.46,0,137.9,366.8,27.62,2929.45,0,858.27,1532.41,3658.4,20.61,806.26,0,0,763.68,386.37,4496.5,2937.79,2334.6,6.5,126.66,230.68,0,56.3,336.36,0,319.34,6245.25,5.22,2255.04,83.94,41.08,251.08,64.38,167.23,112.3
192803,375.24,1934.24,0,39.75,1542.72,19,190.2,23.46,254,113.1,0,65.9,140.2,1804.38,0,130.76,371.7,28.44,2829.41,0,816,1509.97,3668,18.48,769.99,0,0,702.56,381.24,4464.76,2889.92,2327.6,6.03,124.56,237.44,0,55.22,337.65,0,320.88,6137.25,4.8,2223,81.48,39.88,246.92,64.89,156.1,108.3
