Month,Alpha NW T-stat,Beta NW T-stat
01/06/1936,0.63562825,-0.642511979
01/07/1936,-0.552223948,2.604652335
01/08/1936,1.00593921,-0.585476206
01/09/1936,1.212705068,-0.108516531
01/10/1936,-0.828399733,3.642966844
01/11/1936,0.885127634,0.690432633
01/12/1936,-3.722977681,4.823347775
01/01/1937,0.05393854,1.636574354
01/02/1937,0.076887889,0.253750466
01/03/1937,-1.348305557,1.002724352
01/04/1937,0.153907651,-5.471225897
01/05/1937,1.088353434,-1.716721533
01/06/1937,-0.949176262,-3.278082674
01/07/1937,0.503996855,2.156666473
01/08/1937,-0.105873501,-1.729181418
01/09/1937,-1.309228037,-10.15324333
01/10/1937,-0.805214202,-5.079448759
01/11/1937,-2.988227852,0.524581405
01/12/1937,0.438590127,-2.599464755
01/01/1938,1.790601269,-0.712699023
01/02/1938,-0.083403663,1.941225644
01/03/1938,-6.439008673,-5.017661992
01/04/1938,3.18129263,2.625589754
01/05/1938,2.044427888,-4.77948806
01/06/1938,1.787416845,4.679787016
01/07/1938,1.327731107,1.96800014
01/08/1938,0.037889505,-2.217323479
01/09/1938,-0.478925115,-0.379183838
01/10/1938,-1.150086516,2.441838379
01/11/1938,2.184253417,-3.040077043
01/12/1938,-2.853328386,3.561287726
01/01/1939,1.273969548,-5.440589618
01/02/1939,0.991486512,0.471818151
01/03/1939,4.588215578,-12.92872451
01/04/1939,-1.170320091,1.229463004
01/05/1939,2.572223181,0.402262573
01/06/1939,2.150955102,-4.902164999
01/07/1939,0.129696222,5.182219898
01/08/1939,-1.516750095,-2.655439769
01/09/1939,-1.342934271,3.496019226
01/10/1939,6.704453271,-8.647827275
01/11/1939,3.673790016,-6.020056134
01/12/1939,1.500051565,-0.71115448
01/01/1940,1.8278011,-2.416110204
01/02/1940,0.640138829,0.280230462
01/03/1940,1.770538026,-0.94673206
01/04/1940,-0.302330544,0.33839722
01/05/1940,-11.18534918,-4.509828602
01/06/1940,0.793316368,0.964152817
01/07/1940,0.361436712,2.0536392
01/08/1940,1.794651099,-1.012908748
01/09/1940,0.099337436,1.822549674
01/10/1940,-0.469225096,2.113192695
01/11/1940,2.906406282,-2.69510969
01/12/1940,-0.290770737,-0.155345207
01/01/1941,0.875368549,-0.833163407
01/02/1941,-1.695066246,0.073180781
01/03/1941,1.582119085,-0.502348236
01/04/1941,-1.628768788,-0.560242291
01/05/1941,0.052374673,0.266531763
01/06/1941,1.169673287,0.162762678
01/07/1941,-0.314191628,1.77865798
01/08/1941,1.303679703,-1.286402628
01/09/1941,3.000981668,-4.08961184
01/10/1941,0.019595414,-1.489086326
01/11/1941,0.244689514,-1.770233285
01/12/1941,-0.738845952,-0.743368135
01/01/1942,-1.266431894,2.10793314
01/02/1942,0.0094262,-0.613886093
01/03/1942,-3.580938128,1.974319177
01/04/1942,-1.62390027,0.402342298
01/05/1942,6.762932032,-4.431899969
01/06/1942,5.160337826,-3.111029254
01/07/1942,-0.907500371,2.125749441
01/08/1942,0.561630575,-0.171164253
01/09/1942,-0.344678557,1.530733588
01/10/1942,1.26007545,0.54001504
01/11/1942,3.06778762,-2.716335571
01/12/1942,1.731852775,-0.832474612
01/01/1943,-0.55243598,1.516254174
01/02/1943,-1.355270166,2.742026835
01/03/1943,1.303957688,0.608115136
01/04/1943,1.836500644,-0.36139469
01/05/1943,1.118199918,2.335114013
01/06/1943,2.379340367,-1.711460915
01/07/1943,1.716393035,-4.775831485
01/08/1943,0.593104577,-0.535469133
01/09/1943,4.090223421,0.52620684
01/10/1943,-0.317740777,0.661540239
01/11/1943,-0.661498097,-3.461662496
01/12/1943,2.632861212,3.091088489
01/01/1944,-0.613630215,1.942653661
01/02/1944,-0.133489838,0.153036827
01/03/1944,2.030181434,0.582057811
01/04/1944,-1.785642762,-0.686696895
01/05/1944,4.065584066,1.428446017
01/06/1944,0.115119154,1.66866587
01/07/1944,-1.175741278,-0.039486302
01/08/1944,-0.291100686,1.30469632
01/09/1944,2.196144408,-1.695826605
01/10/1944,1.057597521,-0.717076313
01/11/1944,0.117109596,0.715193969
01/12/1944,-0.91453035,1.658731596
01/01/1945,-1.250582081,1.905957417
01/02/1945,2.945696007,0.074870963
01/03/1945,0.751668969,-5.030600965
01/04/1945,2.158703112,1.332633275
01/05/1945,2.126504771,-1.067833943
01/06/1945,-2.398697655,5.541736796
01/07/1945,-3.245740497,1.932582941
01/08/1945,6.355456415,-1.610673271
01/09/1945,-0.036972763,1.913823759
01/10/1945,2.541112899,-0.49779802
01/11/1945,-0.251012549,2.957948882
01/12/1945,1.651950151,-0.254288674
01/01/1946,-2.723171062,5.811550974
01/02/1946,-1.747613333,-4.077510744
01/03/1946,3.805826053,-1.912758805
01/04/1946,4.699009476,-1.210071504
01/05/1946,2.65569155,-0.798916872
01/06/1946,-0.493089915,-2.126279709
01/07/1946,-1.42802028,0.649892525
01/08/1946,-2.802794334,-6.02951365
01/09/1946,-4.867236228,-1.384191816
01/10/1946,-2.776151514,1.650637711
01/11/1946,3.236701039,-4.031827132
01/12/1946,4.622944561,-2.974691542
01/01/1947,-0.598757324,1.559110091
01/02/1947,-1.660395433,1.353857375
01/03/1947,-0.350439604,-2.060277454
01/04/1947,-2.953081514,-2.200412732
01/05/1947,-2.457396509,-1.224845903
01/06/1947,1.367808653,1.545494722
01/07/1947,2.898919977,-0.222015212
01/08/1947,-0.576344122,-1.058609268
01/09/1947,3.147461332,-3.916939109
01/10/1947,1.977985298,-0.52103013
01/11/1947,0.338131337,-3.372782689
01/12/1947,-1.590611781,1.728258325
01/01/1948,-1.018710539,0.417957272
01/02/1948,-0.923211771,-4.636965655
01/03/1948,1.326254268,0.6220496
01/04/1948,1.61253363,-0.212730975
01/05/1948,1.359615534,3.019277217
01/06/1948,0.263251837,-1.050264534
01/07/1948,-0.755750751,-1.857545084
01/08/1948,-1.450201486,1.44834217
01/09/1948,-0.490256736,-1.681195946
01/10/1948,0.828049172,1.176662179
01/11/1948,-0.868768929,-3.725354107
01/12/1948,0.793325463,-0.398423488
01/01/1949,2.285024004,-1.668650918
01/02/1949,0.74174106,-2.897367955
01/03/1949,0.22051312,2.016798607
01/04/1949,-1.075053853,-0.139268951
01/05/1949,1.200566653,-3.582752506
01/06/1949,-1.138572255,0.801701815
